192.168.1.,1122304
192.168.2.,211968
192.168.3.,126464
192.168.4.,65280
192.168.5.,51968
192.168.6.,23616
192.168.7.,24448
192.168.8.,22016
192.168.9.,13056
192.168.10.,109056
192.168.11.,29696
192.168.12.,18944
192.168.13.,41472
192.168.14.,9696
192.168.15.,14144
192.168.16.,17920
192.168.17.,7776
192.168.18.,10752
192.168.19.,6944
192.168.20.,37120
192.168.21.,14656
192.168.22.,12480
192.168.23.,11776
192.168.24.,9024
192.168.25.,26112
192.168.26.,2840
192.168.27.,3272
192.168.28.,3216
192.168.29.,12800
192.168.30.,16512
192.168.31.,26752
192.168.32.,7232
192.168.33.,54272
192.168.34.,3984
192.168.35.,6928
192.168.36.,2456
192.168.37.,2256
192.168.38.,2256
192.168.39.,6400
192.168.40.,8064
192.168.41.,1872
192.168.42.,23936
192.168.43.,25984
192.168.44.,8224
192.168.45.,5336
192.168.46.,3012
192.168.47.,3264
192.168.48.,5760
192.168.49.,10240
192.168.50.,33792
192.168.51.,6080
192.168.52.,4600
192.168.53.,6272
192.168.54.,1292
192.168.55.,5792
192.168.56.,54016
192.168.57.,3000
192.168.58.,3624
192.168.59.,9536
192.168.60.,5488
192.168.61.,1562
192.168.62.,874
192.168.63.,1322
192.168.64.,12352
192.168.65.,9056
192.168.66.,7904
192.168.67.,5344
192.168.68.,3392
192.168.69.,2648
192.168.70.,5760
192.168.71.,1468
192.168.72.,1750
192.168.73.,922
192.168.74.,1048
192.168.75.,1616
192.168.76.,1018
192.168.77.,2928
192.168.78.,2880
192.168.79.,2072
192.168.80.,8448
192.168.81.,1030
192.168.82.,1676
192.168.83.,1592
192.168.84.,1652
192.168.85.,1726
192.168.86.,9312
192.168.87.,1402
192.168.88.,51968
192.168.89.,1448
192.168.90.,3136
192.168.91.,1303
192.168.92.,2128
192.168.93.,1114
192.168.94.,486
192.168.95.,969
192.168.96.,7040
192.168.97.,468
192.168.98.,1822
192.168.99.,51200
192.168.100.,109568
192.168.101.,18304
192.168.102.,5016
192.168.103.,4128
192.168.104.,4576
192.168.105.,1554
192.168.106.,1166
192.168.107.,280
192.168.108.,785
192.168.109.,1114
192.168.110.,186368
192.168.111.,15616
192.168.112.,25088
192.168.113.,2044
192.168.114.,990
192.168.115.,1302
192.168.116.,1144
192.168.117.,363
192.168.118.,920
192.168.119.,2772
192.168.120.,5600
192.168.121.,7488
192.168.122.,38144
192.168.123.,13568
192.168.124.,5272
