192.168.228.,314.8, (first) 140, (second) 437
192.168.214.,347.6, (first) 306, (second) 104
192.168.242.,606.0, (first) 528, (second) 195
192.168.166.,633.4000000000001, (first) 533, (second) 251
192.168.194.,695.8, (first) 383, (second) 782
192.168.164.,727.0, (first) 597, (second) 325
192.168.236.,792.8, (first) 680, (second) 282
192.168.154.,883.8, (first) 733, (second) 377
192.168.138.,884.0, (first) 626, (second) 645
192.168.182.,955.2, (first) 772, (second) 458
192.168.212.,1015.4000000000001, (first) 671, (second) 861
192.168.246.,1019.0, (first) 925, (second) 235
192.168.216.,1062.6, (first) 511, (second) 1379
192.168.186.,1100.8, (first) 486, (second) 1537
192.168.162.,1157.2, (first) 916, (second) 603
192.168.172.,1227.6, (first) 610, (second) 1544
192.168.108.,1230.6, (first) 785, (second) 1114
192.168.206.,1265.1999999999998, (first) 1168, (second) 243
192.168.106.,1278.0, (first) 1166, (second) 280
192.168.116.,1289.2, (first) 1144, (second) 363
192.168.190.,1336.0, (first) 800, (second) 1340
192.168.184.,1352.8, (first) 918, (second) 1087
192.168.134.,1434.0, (first) 1088, (second) 865
192.168.146.,1435.6, (first) 1280, (second) 389
192.168.156.,1504.2, (first) 461, (second) 2608
192.168.114.,1510.8000000000002, (first) 990, (second) 1302
192.168.244.,1542.8000000000002, (first) 1236, (second) 767
192.168.152.,1561.8, (first) 1283, (second) 697
192.168.142.,1661.6, (first) 1300, (second) 904
192.168.196.,1663.6, (first) 1274, (second) 974
192.168.230.,1767.2, (first) 1404, (second) 908
192.168.234.,1881.0, (first) 1553, (second) 820
192.168.218.,1885.1999999999998, (first) 1606, (second) 698
192.168.180.,1929.2, (first) 1792, (second) 343
192.168.176.,1994.8000000000002, (first) 1394, (second) 1502
192.168.118.,2028.8000000000002, (first) 920, (second) 2772
192.168.148.,2146.2000000000003, (first) 303, (second) 4608
192.168.174.,2265.2, (first) 1052, (second) 3033
192.168.224.,2528.0, (first) 2150, (second) 945
192.168.208.,2596.8, (first) 2068, (second) 1322
192.168.204.,2951.6000000000004, (first) 2312, (second) 1599
192.168.210.,2975.2, (first) 2192, (second) 1958
192.168.140.,3023.6000000000004, (first) 2608, (second) 1039
192.168.158.,3105.0000000000005, (first) 353, (second) 6880
192.168.144.,3347.6000000000004, (first) 2952, (second) 989
192.168.240.,3556.3999999999996, (first) 2744, (second) 2031
192.168.248.,3975.6000000000004, (first) 3700, (second) 689
192.168.250.,4622.4, (first) 4112, (second) 1276
192.168.188.,4830.4, (first) 4544, (second) 716
192.168.238.,4982.799999999999, (first) 4768, (second) 537
192.168.198.,5147.8, (first) 1359, (second) 9472
192.168.136.,5180.0, (first) 1340, (second) 9600
192.168.104.,5197.6, (first) 4576, (second) 1554
192.168.202.,5294.4, (first) 2824, (second) 6176
192.168.170.,5458.4, (first) 5264, (second) 486
192.168.130.,5560.8, (first) 4624, (second) 2342
192.168.132.,5757.2, (first) 1354, (second) 11008
192.168.252.,5891.2, (first) 3024, (second) 7168
192.168.150.,5940.8, (first) 5232, (second) 1772
192.168.192.,6039.2, (first) 5552, (second) 1218
192.168.124.,6529.6, (first) 5272, (second) 3144
192.168.102.,6667.200000000001, (first) 5016, (second) 4128
192.168.222.,6893.2, (first) 6672, (second) 553
10.214.,7440.0, (first) 5232, (second) 5520
10.174.,7696.0, (first) 5616, (second) 5200
10.178.,7916.799999999999, (first) 5696, (second) 5552
10.206.,8022.4, (first) 5136, (second) 7216
10.230.,8214.4, (first) 5504, (second) 6776
192.168.120.,8595.2, (first) 5600, (second) 7488
192.168.232.,8614.6, (first) 1037, (second) 18944
192.168.126.,8748.8, (first) 6688, (second) 5152
10.186.,9011.2, (first) 6816, (second) 5488
10.158.,9024.0, (first) 6720, (second) 5760
10.226.,9190.4, (first) 7104, (second) 5216
10.190.,9731.2, (first) 7792, (second) 4848
10.238.,9900.8, (first) 6368, (second) 8832
10.170.,10272.0, (first) 8032, (second) 5600
10.198.,10291.2, (first) 7360, (second) 7328
192.168.220.,10384.4, (first) 10112, (second) 681
192.168.160.,10512.0, (first) 8896, (second) 4040
10.218.,10540.8, (first) 8608, (second) 4832
10.182.,10563.2, (first) 9072, (second) 3728
10.166.,11020.8, (first) 8576, (second) 6112
10.134.,11052.8, (first) 8416, (second) 6592
10.118.,11475.2, (first) 7360, (second) 10288
10.126.,12012.8, (first) 6688, (second) 13312
10.154.,12512.0, (first) 8160, (second) 10880
10.156.,12723.2, (first) 9408, (second) 8288
10.234.,12915.2, (first) 9152, (second) 9408
10.248.,12985.6, (first) 10944, (second) 5104
192.168.226.,13570.0, (first) 13440, (second) 325
10.122.,13904.0, (first) 7376, (second) 16320
10.146.,14009.600000000002, (first) 7968, (second) 15104
192.168.128.,14227.2, (first) 13248, (second) 2448
10.136.,14380.8, (first) 11456, (second) 7312
10.236.,14630.400000000001, (first) 11520, (second) 7776
10.176.,15980.8, (first) 13504, (second) 6192
10.138.,16012.8, (first) 11456, (second) 11392
10.148.,16230.400000000001, (first) 10752, (second) 13696
10.164.,16243.2, (first) 12480, (second) 9408
10.144.,16435.2, (first) 13376, (second) 7648
10.124.,16985.6, (first) 12096, (second) 12224
10.108.,16998.4, (first) 13504, (second) 8736
10.242.,17062.4, (first) 14144, (second) 7296
10.252.,17216.0, (first) 9024, (second) 20480
10.224.,17264.0, (first) 14464, (second) 7000
10.216.,17292.8, (first) 14464, (second) 7072
10.106.,17446.4, (first) 10688, (second) 16896
10.188.,17484.800000000003, (first) 14976, (second) 6272
10.172.,17868.8, (first) 13376, (second) 11232
10.204.,18163.2, (first) 14720, (second) 8608
10.184.,18214.4, (first) 13632, (second) 11456
10.150.,18329.6, (first) 13440, (second) 12224
10.208.,18444.8, (first) 15488, (second) 7392
10.130.,18508.800000000003, (first) 14080, (second) 11072
10.222.,18604.800000000003, (first) 14176, (second) 11072
10.110.,19059.2, (first) 11072, (second) 19968
10.120.,19808.0, (first) 16768, (second) 7600
10.114.,19865.6, (first) 15872, (second) 9984
10.116.,19923.2, (first) 16640, (second) 8208
10.228.,20454.4, (first) 17152, (second) 8256
